N,AreaEstimate,RelativeError
65600,0.9513169313283888,0.007199175971001252
66100,0.9416204899229548,0.0030668536472953163
66600,0.9523605851414003,0.008304136080348181
67100,0.9543920944200034,0.010454980245950594
67600,0.9463262512410833,0.0019153334302719407
68100,0.9328111061669201,0.012393718089307039
68600,0.9316810753377148,0.013590129172212995
69100,0.9651787648523461,0.021875281107994273
69600,0.9398064756499593,0.004987426718994323
70100,0.9423953468505298,0.0022464800859215584
70600,0.9673938397149014,0.02422047386427634
71100,0.958129488560929,0.014411916336389802
71600,0.9604003856105031,0.016816210385747394
72100,0.9564370364606382,0.012620046240686697
72600,0.9442256283567774,0.0003086842114033451
73100,0.9464120308587827,0.0020061519129634035
73600,0.9455305593191168,0.0010729009855846023
74100,0.943086548509271,0.001514675869905186
74600,0.9357230047841419,0.009310768768010303
75100,0.9381667012767236,0.006723524693404546
75600,0.9503516495694034,0.006177191645680457
76100,0.9536891577407602,0.009710751671037219
76600,0.9399757034298549,0.004808258163438152
77100,0.9418240395316714,0.002851347130574012
77600,0.9469059735552425,0.002529109783750559
78100,0.9388521046428532,0.005997859373215761
78600,0.932261306524578,0.012975814053837919
79100,0.9464026150884547,0.001996183041598703
79600,0.9327632197026606,0.012444417499518256
80100,0.9413843503992103,0.0033168644753350253
80600,0.9296340174340169,0.015757435320008024
81100,0.9268995709501449,0.018652508617449392
81600,0.9343258597929742,0.01078998482889883
82100,0.9503062245903974,0.0061290983132517825
82600,0.9410227234893661,0.0036997340675911225
83100,0.9372326249759523,0.007712470489961797
83600,0.934301917015151,0.010815334053011093
84100,0.935452130176654,0.009597555087551994
84600,0.9180868102185773,0.027982948405239138
85100,0.9447951157208756,0.0002942559707341651
85600,0.9560857531447017,0.012248127845573588
86100,0.9417260611463008,0.0029550809607608265
86600,0.9310123957830428,0.01429808829106714
87100,0.9445317388198214,1.5407787783058964e-05
87600,0.9335914115691377,0.011567575999076521
88100,0.9523499806089258,0.008292908616589139
88600,0.9409403590758623,0.0037869367302143632
89100,0.9626114859147732,0.019157195110302137
89600,0.9525740128230057,0.008530100927564935
90100,0.9476115200533441,0.003276101483461904
90600,0.9534346353219786,0.009441278100220957
91100,0.9471345400726814,0.002771102752063985
91600,0.9534273720934632,0.00943358821524709
92100,0.9535293602769946,0.009541567387097036
92600,0.9396664880912121,0.005135637424778266
93100,0.9605177928473269,0.016940514356682486
93600,0.9376252271985172,0.007296806033638538
94100,0.9526866699367813,0.008649375743796397
94600,0.9450820532999591,0.0005980488327033624
95100,0.9469626219890758,0.0025890858590183617
95600,0.9611287333755337,0.017587342744061242
96100,0.9537000587698339,0.00972229304819412
96600,0.9538965277586544,0.00993030301535362
97100,0.934266226530392,0.010853121067680334
97600,0.9337633446943244,0.01138554318087748
98100,0.934950362889562,0.010128797180954576
98600,0.9495351850572611,0.005312766387642589
99100,0.9409183243632792,0.003810265805547306
99600,0.9350234971178814,0.0100513669029129
